商品名字,综合评分,性价比,功效,口味,包装,星座,性别,喜好种类,职业,年龄,口味喜好,个性标签,报告URL
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,白羊,女,零食,白领,30-34岁,甜食,其他,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56698419
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,巨蟹,男,主食,白领,30-34岁,酸辣,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56770664
冬虫夏草花 滋补煲汤食材,4.8,5,5,5,4,狮子,男,生鲜,学生,25-29岁,海鲜,宅男,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56750707
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,射手,男,主食,白领,25-29岁,甜食,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56622304
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,水瓶,女,水果,全职妈妈,18-24岁,海鲜,腐女,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56620144
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,金牛,女,坚果,白领,30-34岁,海鲜,腐女,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56732426
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,白羊,女,水果,白领,30-34岁,甜食,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56770745
冬虫夏草花 滋补煲汤食材,4.5,4,5,5,4,处女,女,坚果,自由职业者,25-29岁,甜食,其他,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56712369
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,白羊,男,主食,其他,30-34岁,甜食,其他,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56776526
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,天蝎,女,坚果,白领,35-39岁,海鲜,闷骚,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56742235
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,水瓶,男,冲饮,自由职业者,50岁以上,海鲜,其他,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56774428
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,狮子,女,零食,全职妈妈,25-29岁,甜食,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56640237
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,处女,男,生鲜,白领,40-49岁,海鲜,宅男,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56778465
冬虫夏草花 滋补煲汤食材,4.3,5,4,3,5,天蝎,女,坚果,公务员,25-29岁,川味,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56702238
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,双子,女,零食,全职妈妈,18-24岁,海鲜,其他,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56694030
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,处女,男,冲饮,其他,40-49岁,海鲜,宅男,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56620077
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,巨蟹,女,零食,其他,40-49岁,川味,其他,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56704252
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,射手,女,水果,全职妈妈,25-29岁,酸辣,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56728173
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,双鱼,女,零食,白领,30-34岁,甜食,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56728425
冬虫夏草花 滋补煲汤食材,4.8,4,5,5,5,射手,女,主食,其他,18-24岁,酸辣,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56702313
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,白羊,男,主食,白领,30-34岁,川味,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56728730
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,巨蟹,女,生鲜,自由职业者,35-39岁,酸辣,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56734443
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,天蝎,女,主食,白领,40-49岁,甜食,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56720402
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,摩羯,女,主食,白领,25-29岁,甜食,其他,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56606027
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,水瓶,男,坚果,其他,35-39岁,川味,屌丝,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56718058
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,白羊,女,零食,白领,18-24岁,海鲜,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56702574
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,天秤,女,主食,全职妈妈,30-34岁,甜食,其他,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56584468
冬虫夏草花 滋补煲汤食材,4.8,4,5,5,5,射手,男,主食,其他,40-49岁,酸辣,宅男,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56618264
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,双鱼,女,主食,其他,18-24岁,海鲜,其他,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56624241
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,巨蟹,女,水果,其他,30-34岁,酸辣,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56726168
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,天秤,女,零食,其他,25-29岁,酸辣,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56624193
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56716426
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,巨蟹,女,零食,自由职业者,40-49岁,甜食,其他,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56636191
